"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","190","mcglr_top2_ogpm_eps_1","eps_1","3.394847106933594"
"0.05","5002","199","mcglr_top2_ogpm_eps_1","eps_1","3.3890850067138674"
"0.05","5003","0","random","none","2.7569111824035644"
"0.05","5003","10","random","none","2.7811026573181152"
"0.05","5003","20","random","none","2.7503894805908202"
"0.05","5003","30","random","none","2.9009817123413084"
"0.05","5003","40","random","none","4.113949155807495"
"0.05","5003","50","random","none","3.989748477935791"
"0.05","5003","60","random","none","4.056761884689331"
"0.05","5003","70","random","none","3.9130300521850585"
"0.05","5003","80","random","none","3.931565761566162"
"0.05","5003","90","random","none","3.848138427734375"
"0.05","5003","100","random","none","3.9109134674072266"
"0.05","5003","110","random","none","3.974108123779297"
"0.05","5003","120","random","none","3.9380943298339846"
"0.05","5003","130","random","none","3.76409912109375"
"0.05","5003","140","random","none","3.688848876953125"
"0.05","5003","150","random","none","3.6941262245178224"
"0.05","5003","160","random","none","3.9022969245910644"
"0.05","5003","170","random","none","3.9167675018310546"
"0.05","5003","180","random","none","3.7645942687988283"
"0.05","5003","190","random","none","3.7831394195556642"
"0.05","5003","199","random","none","3.9092170715332033"
"0.05","5003","0","oracle","none","2.7569111824035644"
"0.05","5003","10","oracle","none","2.7811026573181152"
"0.05","5003","20","oracle","none","2.7503894805908202"
"0.05","5003","30","oracle","none","2.908379554748535"
"0.05","5003","40","oracle","none","3.665569877624512"
"0.05","5003","50","oracle","none","3.3527313232421876"
"0.05","5003","60","oracle","none","3.3008249282836912"
"0.05","5003","70","oracle","none","3.1650506019592286"
"0.05","5003","80","oracle","none","3.247710418701172"
"0.05","5003","90","oracle","none","3.17353515625"
"0.05","5003","100","oracle","none","3.061356544494629"
"0.05","5003","110","oracle","none","3.346018981933594"
"0.05","5003","120","oracle","none","3.1920652389526367"
"0.05","5003","130","oracle","none","3.0857521057128907"
"0.05","5003","140","oracle","none","3.0761093139648437"
"0.05","5003","150","oracle","none","2.9771239280700685"
"0.05","5003","160","oracle","none","3.1623983860015867"
"0.05","5003","170","oracle","none","3.0822071075439452"
"0.05","5003","180","oracle","none","3.1106332778930663"
"0.05","5003","190","oracle","none","3.081765079498291"
"0.05","5003","199","oracle","none","3.1221555709838866"
"0.05","5003","0","poc_ogpm_eps_1","eps_1","2.7569111824035644"
"0.05","5003","10","poc_ogpm_eps_1","eps_1","2.7811026573181152"
"0.05","5003","20","poc_ogpm_eps_1","eps_1","2.7503894805908202"
"0.05","5003","30","poc_ogpm_eps_1","eps_1","2.912057113647461"
"0.05","5003","40","poc_ogpm_eps_1","eps_1","4.131381797790527"
"0.05","5003","50","poc_ogpm_eps_1","eps_1","3.9702019691467285"
"0.05","5003","60","poc_ogpm_eps_1","eps_1","4.05225191116333"
"0.05","5003","70","poc_ogpm_eps_1","eps_1","3.9237434387207033"
"0.05","5003","80","poc_ogpm_eps_1","eps_1","4.035251045227051"
"0.05","5003","90","poc_ogpm_eps_1","eps_1","3.8150875091552736"
"0.05","5003","100","poc_ogpm_eps_1","eps_1","3.8919944763183594"
"0.05","5003","110","poc_ogpm_eps_1","eps_1","3.946654510498047"
"0.05","5003","120","poc_ogpm_eps_1","eps_1","3.8508740425109864"
"0.05","5003","130","poc_ogpm_eps_1","eps_1","3.768027496337891"
